date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:17:24	165548/165548	---M--	200	added ('OK')	font/ttf	etag:%22286ac-5cb3a03266412%22	https://ageroute.ci/media/com_rsform/css/frameworks/uikit/fonts/fontawesome-webfont.ttf	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/media/com_rsform/css/frameworks/uikit/fonts/fontawesome-webfont.ttf	(from https://ageroute.ci/media/com_rsform/css/frameworks/uikit/uikit.min.css?6a7c03bfc92decd27f0487f6f3335e46)
09:17:24	572029/572029	---M--	200	added ('OK')	image/png	etag:%228ba7d-5cd492731b08a%22	https://ageroute.ci/images/article/258/_thumb6/visitmedic.png	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/article/258/_thumb6/visitmedic.png	(from https://ageroute.ci/actualites/vie-de-l-entreprise/258-visites-medicales-annuelles-du-personnel-l-ageroute-fait-le-point-de-l-etat-de-sante-de-ses-agents)
09:17:24	2013/2013	---M-Z	200	added ('OK')	application/rss+xml	date:Mon,%2007%20Feb%202022%2009:17:24%20GMT	https://ageroute.ci/actualites/documentations/34-reglements?format=feed&type=rss	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/actualites/documentations/34-reglementsc0d0	(from https://ageroute.ci/actualites/documentations/34-reglements)
09:17:24	3299/3299	---MC-	200	added ('OK')	application/atom+xml	date:Mon,%2007%20Feb%202022%2009:17:25%20GMT	https://ageroute.ci/actualites/documentations/34-reglements?format=feed&type=atom	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/actualites/documentations/34-reglements7b17	(from https://ageroute.ci/actualites/documentations/34-reglements)
09:17:24	1099/1099	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Feb%202022%2009:17:25%20GMT	https://ageroute.ci/actualites/documentations?id=93:reglement-n-14-2005-cm-uemoa	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/actualites/documentations7556	(from https://ageroute.ci/actualites/documentations/34-reglements)
09:17:25	41953/41953	---M--	200	added ('OK')	image/jpeg	etag:%22a3e1-5cb3a0315ba7b%22	https://ageroute.ci/images/article/236/imagedgvisitedechantier.jpg	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/article/236/imagedgvisitedechantier.jpg	(from https://ageroute.ci/actualites/news/236-visite-des-chantiers-doublement-de-la-route-de-dabou-sortie-ouest-amenagement-de-la-voie-y4)
09:17:25	66887/66887	---M--	200	added ('OK')	image/png	etag:%2210547-5d76a0cc31607%22	https://ageroute.ci/images/article_gallery/236/_thumb2/20413721443618952172047917105002500012428704n.png	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/article_gallery/236/_thumb2/20413721443618952172047917105002500012428704n.png	(from https://ageroute.ci/actualites/news/236-visite-des-chantiers-doublement-de-la-route-de-dabou-sortie-ouest-amenagement-de-la-voie-y4)
09:17:25	213811/213811	---M--	200	added ('OK')	image/png	etag:%2234333-5cb3a03192579%22	https://ageroute.ci/images/article_gallery/236/20413721443618952172047917105002500012428704n.png	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/article_gallery/236/20413721443618952172047917105002500012428704n.png	(from https://ageroute.ci/actualites/news/236-visite-des-chantiers-doublement-de-la-route-de-dabou-sortie-ouest-amenagement-de-la-voie-y4)
09:17:26	253017/253017	---M--	200	added ('OK')	image/png	etag:%223dc59-5cb3a03156c5b%22	https://ageroute.ci/images/article/213/elargissementboulevarddefrance.png	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/article/213/elargissementboulevarddefrance.png	(from https://ageroute.ci/actualites/news/213-elargissement-du-boulevard-de-france-initial)
09:17:26	200966/200966	---M--	200	added ('OK')	image/gif	etag:%2231106-5cb3a0315ca1b%22	https://ageroute.ci/images/article/240/piclancementyopsabledabou.gif	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/article/240/piclancementyopsabledabou.gif	(from https://ageroute.ci/actualites/news/240-travaux-de-renforcement-et-d-elargissement-de-la-liaison-carrefour-sable-route-de-dabou)
09:17:26	226597/226597	---M--	200	added ('OK')	image/gif	etag:%2237525-5cb3a0316471b%22	https://ageroute.ci/images/article/244/23716789345259286241347822024299758538538179n.gif	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/article/244/23716789345259286241347822024299758538538179n.gif	(from https://ageroute.ci/actualites/news/244-le-directeur-general-procede-a-des-visites-inopinees-sur-plusieurs-chantiers)
09:17:26	78839/78839	---M--	200	added ('OK')	image/png	etag:%22133f7-5cb3a03157bfb%22	https://ageroute.ci/images/article/228/visite-de-chantier-121120.png	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/article/228/visite-de-chantier-121120.png	(from https://ageroute.ci/actualites/news/228-visite-des-chantiers-du-4-e-et-5-e-pont-d-abidjan)
09:17:27	102078/102078	---M--	200	added ('OK')	image/jpeg	etag:%2218ebe-5cb3a03176ffa%22	https://ageroute.ci/images/article/78/_thumb6/pont-de-beoumi.jpg	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/article/78/_thumb6/pont-de-beoumi.jpg	(from https://ageroute.ci/ageroute/realisations/78-pont-de-beoumi)
09:17:27	186704/186704	---M--	200	added ('OK')	image/jpeg	etag:%222d950-5cb3a031a1f79%22	https://ageroute.ci/images/article_gallery/78/pont-de-beoumi-1.jpg	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/article_gallery/78/pont-de-beoumi-1.jpg	(from https://ageroute.ci/ageroute/realisations/78-pont-de-beoumi)
09:17:27	12097/12097	---M--	200	added ('OK')	image/jpeg	etag:%222f41-5d76a0d43bf40%22	https://ageroute.ci/images/article_gallery/78/_thumb2/pont-de-beoumi-1.jpg	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/article_gallery/78/_thumb2/pont-de-beoumi-1.jpg	(from https://ageroute.ci/ageroute/realisations/78-pont-de-beoumi)
09:17:27	107172/107172	---M--	200	added ('OK')	image/jpeg	etag:%221a2a4-5cb3a031a1f79%22	https://ageroute.ci/images/article_gallery/78/pont-de-beoumi-2.jpg	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/article_gallery/78/pont-de-beoumi-2.jpg	(from https://ageroute.ci/ageroute/realisations/78-pont-de-beoumi)
09:17:27	10735/10735	---M--	200	added ('OK')	image/jpeg	etag:%2229ef-5d76a0d441d00%22	https://ageroute.ci/images/article_gallery/78/_thumb2/pont-de-beoumi-2.jpg	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/article_gallery/78/_thumb2/pont-de-beoumi-2.jpg	(from https://ageroute.ci/ageroute/realisations/78-pont-de-beoumi)
09:17:28	244616/244616	---M--	200	added ('OK')	image/jpeg	etag:%223bb88-5cb3a031a1f79%22	https://ageroute.ci/images/article_gallery/78/pont-de-beoumi-3.jpg	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/article_gallery/78/pont-de-beoumi-3.jpg	(from https://ageroute.ci/ageroute/realisations/78-pont-de-beoumi)
09:17:28	13612/13612	---M--	200	added ('OK')	image/jpeg	etag:%22352c-5d76a0d44b940%22	https://ageroute.ci/images/article_gallery/78/_thumb2/pont-de-beoumi-3.jpg	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/article_gallery/78/_thumb2/pont-de-beoumi-3.jpg	(from https://ageroute.ci/ageroute/realisations/78-pont-de-beoumi)
09:17:28	182932/182932	---M--	200	added ('OK')	image/jpeg	etag:%222ca94-5cb3a031a1f79%22	https://ageroute.ci/images/article_gallery/78/pont-de-beoumi-4.jpg	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/article_gallery/78/pont-de-beoumi-4.jpg	(from https://ageroute.ci/ageroute/realisations/78-pont-de-beoumi)
09:17:28	11013/11013	---M--	200	added ('OK')	image/jpeg	etag:%222b05-5d76a0d4574bf%22	https://ageroute.ci/images/article_gallery/78/_thumb2/pont-de-beoumi-4.jpg	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/article_gallery/78/_thumb2/pont-de-beoumi-4.jpg	(from https://ageroute.ci/ageroute/realisations/78-pont-de-beoumi)
09:17:29	153110/153110	---M--	200	added ('OK')	image/jpeg	etag:%2225616-5cb3a031a2f19%22	https://ageroute.ci/images/article_gallery/78/pont-de-beoumi-5.jpg	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/article_gallery/78/pont-de-beoumi-5.jpg	(from https://ageroute.ci/ageroute/realisations/78-pont-de-beoumi)
09:17:29	9407/9407	---M--	200	added ('OK')	image/jpeg	etag:%2224bf-5d76a0d46209f%22	https://ageroute.ci/images/article_gallery/78/_thumb2/pont-de-beoumi-5.jpg	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/article_gallery/78/_thumb2/pont-de-beoumi-5.jpg	(from https://ageroute.ci/ageroute/realisations/78-pont-de-beoumi)
09:17:29	209533/209533	---M--	200	added ('OK')	image/jpeg	etag:%223327d-5cb3a031a2f19%22	https://ageroute.ci/images/article_gallery/78/pont-de-beoumi-6.jpg	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/article_gallery/78/pont-de-beoumi-6.jpg	(from https://ageroute.ci/ageroute/realisations/78-pont-de-beoumi)
09:17:29	12456/12456	---M--	200	added ('OK')	image/jpeg	etag:%2230a8-5d76a0d46cc7e%22	https://ageroute.ci/images/article_gallery/78/_thumb2/pont-de-beoumi-6.jpg	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/article_gallery/78/_thumb2/pont-de-beoumi-6.jpg	(from https://ageroute.ci/ageroute/realisations/78-pont-de-beoumi)
09:17:30	113175/113175	---M--	200	added ('OK')	image/jpeg	etag:%221ba17-5cb3a03177f9a%22	https://ageroute.ci/images/article/79/_thumb6/pont-de-bassawa.jpg	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/images/article/79/_thumb6/pont-de-bassawa.jpg	(from https://ageroute.ci/ageroute/realisations/79-pont-de-bassawa)
09:17:30	139316/139316	---M--	200	added ('OK')	application/pdf	etag:%2222034-5cb3a032aa9cf%22	https://ageroute.ci/media/files/177/page-de-garde-reponse-eclaircissement-appel-doffre.pdf	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/media/files/177/page-de-garde-reponse-eclaircissement-appel-doffre.pdf	(from https://ageroute.ci/appels-d-offres/avis-d-appel-d-offres-de-travaux/177-reponses-a-des-demandes-d-eclaircissements-travaux-de-construction-de-trois-03-echangeurs-sur-le-boulevard-mitterand-abidjan-avis-d-appel-d-offres-n-t-934-2019)
09:17:30	256346/256346	---M--	200	added ('OK')	application/pdf	etag:%223e95a-5cb3a032ad8af%22	https://ageroute.ci/media/files/178/avis-de-report.pdf	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/media/files/178/avis-de-report.pdf	(from https://ageroute.ci/appels-d-offres/avis-d-appel-d-offres-de-travaux/178-travaux-de-construction-de-trois-03-echangeurs-a-abidjan-avis-d-appel-d-offres-n-t-934-2019)
09:17:31	64425/64425	---M--	200	added ('OK')	application/pdf	etag:%22fba9-5cb3a032aa9cf%22	https://ageroute.ci/media/files/177/reponses-eclaircissement-sh2.pdf	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/media/files/177/reponses-eclaircissement-sh2.pdf	(from https://ageroute.ci/appels-d-offres/avis-d-appel-d-offres-de-travaux/177-reponses-a-des-demandes-d-eclaircissements-travaux-de-construction-de-trois-03-echangeurs-sur-le-boulevard-mitterand-abidjan-avis-d-appel-d-offres-n-t-934-2019)
09:17:31	59834/59834	---M--	200	added ('OK')	application/pdf	etag:%22e9ba-5cb3a032aa9cf%22	https://ageroute.ci/media/files/177/reponses-eclaircissement-sh3.pdf	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/media/files/177/reponses-eclaircissement-sh3.pdf	(from https://ageroute.ci/appels-d-offres/avis-d-appel-d-offres-de-travaux/177-reponses-a-des-demandes-d-eclaircissements-travaux-de-construction-de-trois-03-echangeurs-sur-le-boulevard-mitterand-abidjan-avis-d-appel-d-offres-n-t-934-2019)
09:17:31	82173/82173	---M--	200	added ('OK')	application/pdf	etag:%22140fd-5cb3a032aa9cf%22	https://ageroute.ci/media/files/177/reponses-eclaircissement-t1.pdf	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/media/files/177/reponses-eclaircissement-t1.pdf	(from https://ageroute.ci/appels-d-offres/avis-d-appel-d-offres-de-travaux/177-reponses-a-des-demandes-d-eclaircissements-travaux-de-construction-de-trois-03-echangeurs-sur-le-boulevard-mitterand-abidjan-avis-d-appel-d-offres-n-t-934-2019)
